run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR14436605	SAMN19026072	SRX10787714	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/005/SRR14436605/SRR14436605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/005/SRR14436605/SRR14436605_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/005/SRR14436605	
SRR14436602	SAMN19026076	SRX10787712	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/002/SRR14436602/SRR14436602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/002/SRR14436602/SRR14436602_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/002/SRR14436602	
SRR14436612	SAMN19026067	SRX10787717	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/012/SRR14436612/SRR14436612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/012/SRR14436612/SRR14436612_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/012/SRR14436612	
SRR14436606	SAMN19026072	SRX10787714	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/006/SRR14436606/SRR14436606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/006/SRR14436606/SRR14436606_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/006/SRR14436606	
SRR14436611	SAMN19026067	SRX10787717	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/011/SRR14436611/SRR14436611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/011/SRR14436611/SRR14436611_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/011/SRR14436611	
SRR14436607	SAMN19026070	SRX10787715	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/007/SRR14436607/SRR14436607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/007/SRR14436607/SRR14436607_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/007/SRR14436607	
SRR14436613	SAMN19026066	SRX10787718	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/013/SRR14436613/SRR14436613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/013/SRR14436613/SRR14436613_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/013/SRR14436613	
SRR14436608	SAMN19026070	SRX10787715	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/008/SRR14436608/SRR14436608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/008/SRR14436608/SRR14436608_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/008/SRR14436608	
SRR14436619	SAMN19026063	SRX10787720	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/019/SRR14436619/SRR14436619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/019/SRR14436619/SRR14436619_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/019/SRR14436619	
SRR14436609	SAMN19026069	SRX10787716	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/009/SRR14436609/SRR14436609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/009/SRR14436609/SRR14436609_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/009/SRR14436609	
